address,amount
stars17pwchg4852sm8rgcf2ns538jetj6735xeu5ght,1
stars1rjgcsz3kd9thng0cv8rz7ypw2k3cx03y7swx60,1
stars1x79yqj836j0jxsx9s0u4c5t0vwq88jayckjcwf,1
stars1uxqzsek4tmc483v0dpzjvt0pc5j804g5v2vx3n,1
stars1e6k8n7hzsa9057rqelkejp8wa878xyqtz9g85g,1
stars1glv70yjyqgvykfmp6skszgpuml345t2zumz0v7,1
stars1wryt0g4g7h8eldzankzpx55kraljjepxs9hguc,1
stars1w4mhvxws966kyj6u5sw90czmhu2rgwjv29fu7l,1
stars1a6086nvvgrlqsua88c7j2fjssykn2ks0u7ttdw,1
stars1msa53dd90dn3vlyfjpxckqfaan0jffz3w3uua0,1
stars172t2px5f3f779z8650zwym2kgmq39sfnmmacn5,1
stars1uk0v95xdqhds200wjqnjzkznt83r3apdq8yx4d,1
stars190fxhdy90njdcvfqdqm4twzt2jhnxcf4h6mlzu,1
stars1avvasm9kjmlc0v84780w3j37q3uvewge9hr259,1
stars1kk87nw05pzk52nah3hj5uhh2uq6pdq5vkp4v0m,1
stars1u62m9862x0dch0y9tp0eyevz0dkltewrnhzkne,1
stars16a5nzlqg4yyxclsv9kv2myt9f5w8c9lekua3mm,1
stars1tzkvwplu29h65jkchudyrcqfuzex9ckug3s8vk,1
stars1fca989yw2y4dgjx0hymkfd4ush8q8nav3k80j4,1
stars1z55e5anfgyx45jzlcpvrhcueavfv5xggfh7ccr,1
stars1yqgk7rk0x6942c3tesne49k99zfag4j0ucxt3q,1
stars104aavf30j5uwvw2nnnmnp45hjzx60sdqwvfuqj,1
stars1m7wr3acaa4ren3df4h8m5ljdwj2cf733g7h357,1
stars1uu7sv5kw9jx970jqyrh2rfsg7wr7kxzpet7fl3,1
stars17vcp0h44386jtpx6shhxc78ps94uq7rc4gau75,1
stars17ylmph9aafldht7flvxvnrhcec0sdt4da57xmq,1
stars1xk0gj85vv46fke87up0y373sqzarysh39zwxzw,1
stars1w6q9t4zkuf6slh40ufggpfkvswjwsefa6vcu0w,1
stars1lmfvvsltmghkkzjza2eke0cnzpgp0nw2rs5m0y,1
stars1s7suhvxz3t7sjg6czdajqtpdc0u6fsr4z5sfey,1
stars1v0u9rcqpp65rslucp02enkj93tkhj2f8hxfq6c,1
stars1u7taq6azv0ntdcc8tsdlthspuqv0k4uxrux37w,1
stars1ka246r8gt3ncu2jruhwe8jqteuzsz5cereklv4,1
stars1hk39e3l5sz9chh0tymudkuzatj5a5l3xhrfsdg,1
stars1q2dzff4080cmu2tm8l3wdcru4ch489nlzcnzs6,1
stars1c0alnmdraq35ds7v7k4fcm3322dx6v7y30ntvg,1
stars1gls7882u9kd8s96um6ehy8659fr4era60l5kll,1
stars1av0yvuhdd4m3qc28r4cqqq57wxenqj008hkkmu,1
stars16s6rep6lds8zq3tc2gp3fnvq06h20whavv4x9d,1
stars1s7yqwjgwke4hgmtwl0zd3fpdngt9y7anuenfr8,1
stars1g09rpcdrv6986a9kyruwgnzclkq90pdh7z6r85,1
stars1wsvq6j04h4kx73wcuj5kuqgtw3w7z2249gvdvl,1
stars1r0g0k4l57866nwnmhw577q5td8vq26skz3txwq,1
stars1yvsp4fvj6wwh9wwdqrj4l86nf2sz4czge6z0z9,1
stars1qwd3tnrtg0f8g8wfg83grg9luy7l42d3mr9a0s,1
stars13a3gql0mw0x7sceuxpcj6y3khyycwcflrk4d8k,1
stars1dpeq9r9wnnxmlmnejemrd3zz0qhn00dh05nq7e,1
stars1kpucwvxnvn7tg0lk7jp60ad6rwy59vu858scas,1
stars17jymm87u0s7r5n65g8vxs55zs4jkx377y0r55l,1
stars1avawwfdg73hj94urflrsum6uecefs0syd2kgyv,1
stars1wlureh2j6exueae8hlp5v67uedjvesjreltjnf,1
stars1e4qkfvwy4qjn4c0s273kn5p5xk6fe93sccfv2p,1
stars1cvwx28t7v5s34mwyf47slu8cwcmhw0zfq4vujh,1
stars1nxp5flu5n86gp3jkm49zr6vt9as6s4mkyhpr8a,1
stars17g2qm0atankjxhjdwzks3s9e3p42dxy4myrvwy,1
stars1k5cam3ynrfdyjknn8ue8c8lke5xt9cl6atlke7,1
stars15n6aq5yjur2uvz5cc0jl75u35almgsv90462p7,1
stars1cjzecl0c9r7kfl7556jdl42wn5uepmlw03ev7z,1
stars1q7htpg4phqk7z8lawakew3ne6kvgwmmuc0gczz,1
stars1xgm4lk4s60ggry7uxwn6k88tc3j6c9y6vzteuz,1
stars12el8k6fz3n80mv2czz6apdxplsnpxzna5v599k,1
stars1jtz6lgyng0vxw87ze2p6q5rc5zl7tnd9dc4qh2,1
stars1dvsc8g5qqh6yhndaccgzlzankme7lefyj7ccc2,1
stars1eshaulkcnngueytenk55ay8yvqlqz8evcr5hdc,1
stars1pv0ca7a5q7jr5yz0gkvru8la5he6t64vwsxjm6,1
stars1l54utyu3hpkm56yvs67l7r67qehf634runhtur,1
stars1q7pdf8eqhna9x26xjngsrqeg00x4tsq2qp6zda,1
stars1aakg8cq30w03xn3gldaf9mh04sr6wume9608c8,1
stars1p6syz9922ypp5r4wzk4hnt8uk7ma6wxjwx8gly,1
stars1lqty9f24zylvju7p3syacwmzcwm98w6pn7cycp,1
stars1pw9gjw2tfemev933n24zsjnwarnd6rm55xr3x2,1
stars1sezunc9x6zwqldypxnn26r9mkqvvlr95fx9zsg,1
stars1c3npk76g58khsxlljhadz5pkcey2w04h97vrx3,1
stars1ezj0j6y8k6sv54cgg7dtdpnx2vgk28555uvkak,1
stars1jq0g5c6cq8s84rgzg6ff6frs80jg44nl5f2j6x,1
stars1m5kaalaclun6hw0p37wxsndlxgyadxzcxxvh8n,1
stars174ey4wz6myznrdus529fuws3rnqw2dajvh6yu5,1
stars1rk8f8ye8rjl43aktg8g2m3u36vp2kmwhpeq5kr,1
stars156jqg072lv2le033k344e7cxhtjw20nl9k7lq7,1
stars123r7mnlg2c46nsltvd0vdfxukjrc8mwukl0zhk,1
stars1zs079m2ahaks2t25mk0xp776npnvtyk6esg95p,1
stars103verdnv4pzztty50ua7gs5gj25l2gwud4yz2f,1
stars1w29epkxqq4su6xs5nj8wmph5yqlvkxwm47jxnx,1
stars133pc93kq8cyc5x7x89uh438jdpdxrq8u7zk24l,1
stars1p89fj3qgl50w066r0rz0zyfn2msgh85rmlp4jc,1
stars1z30pluzn357unqxje6z2peshkxwnpeftymv9a3,1
stars1ct9tvrcwqdtqnfzd2t0duslsrk7yzuwjwavqdw,1
stars1d67k8zyt2p7tzr78vfkqzky67k4nzu46strtrd,1
stars13mlhp72kld4q9dmsdcye28zd6yatu5vqlfettw,1
stars1mvq32pfuqm5umcd2kt5d8jeagkx6eu3h4zgxpy,1
stars1ac5ud2f5czegsrgax4vp7th943lzfkv292vla5,1
stars10hpjn696zqttksvath6dnnw96yek3arfk8s7s8,1
stars1s48ns4ax03xq0kq8439yy5vva564uee9dqe037,1
stars1z6k6cpdcthpgfk2px4lflu8ml0jkkpr4vg2cr3,1
